Año,Mes,inpc
2011,1,75.295991
2011,2,75.57846
2011,3,75.723451
2011,4,75.717441
2011,5,75.159264
2011,6,75.155508
2011,7,75.516107
2011,8,75.635555
2011,9,75.821113
2011,10,76.332712
2011,11,77.158333
2011,12,77.792385
2012,1,78.343049
2012,2,78.502314
2012,3,78.547389
2012,4,78.30098
2012,5,78.053819
2012,6,78.413667
2012,7,78.853897
2012,8,79.09054
2012,9,79.439119
2012,10,79.841036
2012,11,80.383437
2012,12,80.568243
2013,1,80.892782
2013,2,81.290943
2013,3,81.887433
2013,4,81.941523
2013,5,81.66882
2013,6,81.619238
2013,7,81.592193
2013,8,81.824328
2013,9,82.13234
2013,10,82.522988
2013,11,83.292265
2013,12,83.770058
2014,1,84.519052
2014,2,84.733157
2014,3,84.965292
2014,4,84.806779
2014,5,84.535579
2014,6,84.682072
2014,7,84.914959
2014,8,85.219965
2014,9,85.59634
2014,10,86.069626
2014,11,86.763778
2014,12,87.188984
2015,1,87.110103
2015,2,87.275377
2015,3,87.630717
2015,4,87.40384
2015,5,86.967366
2015,6,87.113108
2015,7,87.24082
2015,8,87.424875
2015,9,87.752419
2015,10,88.203919
2015,11,88.685468
2015,12,89.046818
2016,1,89.386381
2016,2,89.777781
2016,3,89.910001
2016,4,89.625278
2016,5,89.225615
2016,6,89.324028
2016,7,89.556914
2016,8,89.809333
2016,9,90.357744
2016,10,90.906154
2016,11,91.616834
2016,12,92.039035
2017,1,93.603882
2017,2,94.14478
2017,3,94.722489
2017,4,94.838933
2017,5,94.725494
2017,6,94.96364
2017,7,95.322736
2017,8,95.793768
2017,9,96.093515
2017,10,96.698269
2017,11,97.695174
2017,12,98.272883
2018,1,98.7949997
2018,2,99.17137448
2018,3,99.49215698
2018,4,99.15484705
2018,5,98.99408017
2018,6,99.37646493
2018,7,99.9090991
2018,8,100.492
2018,9,100.917
2018,10,101.44
2018,11,102.303
2018,12,103.02
2019,1,103.108
2019,2,103.079
2019,3,103.476
2019,4,103.531
2019,5,103.233
2019,6,103.299
2019,7,103.687
2019,8,103.67
2019,9,103.942
2019,10,104.503
2019,11,105.346
2019,12,105.934
2020,1,106.447
2020,2,106.889
2020,3,106.838
2020,4,105.755
2020,5,106.162
2020,6,106.743
2020,7,107.444
2020,8,107.867
2020,9,108.114
2020,10,108.774
2020,11,108.856
2020,12,109.271
2021,1,110.21
2021,2,110.907
2021,3,111.824
2021,4,112.19
2021,5,112.419
2021,6,113.018
2021,7,113.682
2021,8,113.899
2021,9,114.601
2021,10,115.561
2021,11,116.884
2021,12,117.308
2022,1,118.002
2022,2,118.981
2022,3,120.159
2022,4,120.809
2022,5,121.022
2022,6,122.044
2022,7,122.948
2022,8,123.803
2022,9,124.571
2022,10,125.276
2022,11,125.997
2022,12,126.478
2023,1,127.336
2023,2,128.046
2023,3,128.389
2023,4,128.363
2023,5,128.084
2023,6,128.214
2023,7,128.832
2023,8,129.545
2023,9,130.12
2023,10,130.609
2023,11,131.445
2023,12,132.373
2024,1,133.555
2024,2,133.681
2024,3,134.065
2024,4,134.336
2024,5,134.087
2024,6,134.594
2024,7,136.003
2024,8,136.013
2024,9,136.08
2024,10,136.828
2024,11,137.424
2024,12,137.949
2025,1,138.343
2025,2,138.726
2025,3,139.161
2025,4,139.62
2025,5,140.012
2025,6,140.405
2025,7,140.78
2025,8,140.867
2025,9,141.197
2025,10,141.708
