desarrollo,colonia,m2_interiores,m2_totales,m2_jardin,m2_terraza,estacionamientos,eje,precio_listado,precio_cerrado,descuento_pct,fecha_creacion,fecha_firma,anio_firma,mes_firma,dias_creacion_a_firma,precio_m2
Amara,Altos Juriquilla,165.3,245.3,80,0,2,Horizontal,3009956.29,3009956.29,0,10/26/2017,4/27/2019,2019,4,548,18209.051966122202
Amara Grand,Altos Juriquilla,179.5,233.4,53.9,0,2,Horizontal,3179564.6,3179564.6,0,7/9/2018,4/29/2019,2019,4,294,17713.45181058496
Amara,Altos Juriquilla,177.5,193.9,16.4,0,2,Horizontal,2965041.7,2919365.66,2.5,10/26/2017,5/17/2019,2019,5,568,16447.13047887324
Amara,Altos Juriquilla,143.2,170.5,27.3,0,2,Horizontal,2705780.71,2651665.1,2,10/26/2017,4/30/2019,2019,4,551,18517.21438547486
Amara Grand,Altos Juriquilla,238.8,283.8,45,0,2,Horizontal,4122218.7,4122218.7,0,7/9/2018,8/9/2019,2019,8,396,17262.222361809047
Amara,Altos Juriquilla,121.2,154.6,33.4,0,2,Horizontal,2309750.67,2309750.67,0,10/26/2017,8/31/2019,2019,8,674,19057.348762376238
Amara,Altos Juriquilla,158,179,21,0,2,Horizontal,2734267.2,2734267.2,0,10/26/2017,8/22/2019,2019,8,665,17305.488607594936
Amara,Altos Juriquilla,192.1,276.6,15,69.5,2,Horizontal,3102345.9,3102345.9,0,10/26/2017,7/29/2019,2019,7,641,16149.640291514836
Amara,Altos Juriquilla,165.7,206.99,28.8,12.49,2,Horizontal,2881319.5,2841859.05,1.55,10/26/2017,8/30/2019,2019,8,673,17150.62794206397
Amara Grand,Altos Juriquilla,179.5,207.8,28.3,0,2,Horizontal,3090447.21,3090447.21,0,7/9/2018,8/23/2019,2019,8,410,17216.976100278553
Amara,Altos Juriquilla,145.6,188.07,23.3,19.17,2,Horizontal,2511915.96,2511915.96,0,10/26/2017,9/28/2019,2019,9,702,17252.170054945054
